failure_id,episode_index,game_id,task_type,task,termination_reason,env_steps,agent_turns,invalid_actions,parse_failures,repeated_actions,primary_label,secondary_label,evidence,recommended_fix,confidence
1,0,look_at_obj_in_light-AlarmClock-None-DeskLamp-308/trial_T20190908_222917_366542,look_at_obj_in_light,examine the alarmclock with the desklamp.,thought_loop,21,53,9,0,1,task_protocol_error,unachievability_hallucination,"The agent found the alarmclock and a desklamp, but tried to use the lamp from the wrong state and then repeatedly concluded that no working desklamp was available.","For light-examination tasks, explicitly require holding the target object before using the desklamp, and recover by moving to the lamp location before `use desklamp n`.",high
2,1,look_at_obj_in_light-AlarmClock-None-DeskLamp-308/trial_T20190908_222933_607649,look_at_obj_in_light,examine the alarmclock with the desklamp.,parse_failure_loop,8,21,6,8,0,format_parse_error,task_protocol_error,"After invalid `examine alarmclock 1 with desklamp 1` attempts, the model generated unsupported commands such as `describe alarmclock 1` and then repeated `ouch`.","Constrain the action vocabulary to valid ALFWorld commands and map light-examination completion to `take target from source` followed by `use desklamp n`.",high
3,3,look_at_obj_in_light-Book-None-DeskLamp-308/trial_T20190908_020029_636862,look_at_obj_in_light,examine the book with the desklamp.,thought_loop,28,71,3,9,0,search_failure,format_parse_error,"The agent searched many locations but issued unsupported location-qualified examine commands such as `examine book on desk 1` and eventually repeated a thought about checking remaining locations.","Teach the model to inspect containers through `go to`/`open` observations rather than inventing `examine object on receptacle` commands.",medium
4,6,look_at_obj_in_light-Bowl-None-DeskLamp-308/trial_T20190907_133919_856963,look_at_obj_in_light,look at bowl under the desklamp.,thought_loop,28,59,11,3,3,premature_completion,task_protocol_error,"The agent found the desklamp and continued toward the bowl, but then repeated claims that the task was already complete while `won` stayed false.","Add a rule that the model must not claim completion unless the environment returns success; continue with a concrete valid action after `Nothing happens`.",high
5,13,look_at_obj_in_light-Mug-None-DeskLamp-308/trial_T20190908_201421_021646,look_at_obj_in_light,examine the mug with the desklamp.,parse_failure_loop,2,12,1,8,0,format_parse_error,premature_completion,"The agent saw both mug and desklamp immediately, tried invalid `examine mug 1 with desklamp 1`, then switched to Chinese completion statements that the parser could not execute.","Enforce English-only single-line outputs and the valid protocol: take the target object first, then use the lamp.",high
6,22,pick_and_place_simple-Pencil-None-Shelf-308/trial_T20190908_122024_052056,pick_and_place_simple,put a pencil in shelf.,parse_failure_loop,15,25,4,8,1,state_tracking_error,parse_failure_loop,"The agent had already picked up a pencil but kept searching and attempted to take another pencil instead of placing the held object on the shelf.","Track inventory explicitly after every `take` action and prioritize placing the held target object before searching for alternatives.",high
7,45,pick_clean_then_place_in_recep-Cloth-None-Cabinet-424/trial_T20190908_022321_380927,pick_clean_then_place_in_recep,clean some cloth and put it in cabinet.,parse_failure_loop,7,19,1,8,0,object_identity_confusion,precondition_error,"The task required a cloth, but the agent treated a handtowel as the target and attempted to clean without first taking a valid target object.","Do not substitute nearby object categories for the target type; require `take target from receptacle` before any clean action.",high
8,46,pick_clean_then_place_in_recep-Cloth-None-Cabinet-424/trial_T20190908_022436_073995,pick_clean_then_place_in_recep,clean some cloth and put it in cabinet.,env_done_without_success,50,54,45,0,44,action_repetition_loop,object_identity_confusion,"After seeing handtowels, the agent repeatedly executed `take handtowel 1 from handtowelholder 1` even after moving away from that location.","Stop repeating an invalid action after one failure; re-check current observation and keep target identity separate from similar objects.",high
9,49,pick_clean_then_place_in_recep-Egg-None-Microwave-10/trial_T20190909_120554_888709,pick_clean_then_place_in_recep,clean some egg and put it in microwave.,env_done_without_success,50,51,44,0,43,precondition_error,container_closed,"The agent correctly found, took, and cleaned the egg, but repeatedly tried `move egg 2 to microwave 1` while the microwave was closed.","Before placing into an openable receptacle, check whether it is closed and issue `open receptacle n` first.",high
10,61,pick_clean_then_place_in_recep-Plate-None-CounterTop-10/trial_T20190908_213356_017769,pick_clean_then_place_in_recep,put a clean plate in countertop.,env_done_without_success,50,52,47,0,46,state_tracking_error,action_repetition_loop,"The agent observed a plate on countertop 2 but repeated `go to countertop 2` and later repeated `clean plate 3 with sinkbasin 1` without satisfying the current-state preconditions.","After identifying the target, immediately take it; only call `clean` when holding the object and located at the cleaning receptacle.",high
