failure_id,secondary_label,evidence,recommended_fix,confidence
1,task_protocol_error; unachievability_hallucination,"The agent found the alarmclock and a desklamp, but tried the lamp from an invalid state and then repeatedly concluded that no working lamp was available.","For light-examination tasks, require holding the target object before moving to and using the desklamp.",high
2,task_protocol_error; parse_failure_loop,"After invalid examine-with-lamp actions, the model generated unsupported describe commands and then repeated ouch.","Constrain recovery to the local protocol: take the target, move to the lamp, then use the lamp.",high
3,task_protocol_error; thought_loop,"The target and lamp were found, but the agent repeated look-at-with-lamp commands and claimed completion while won remained false.",Do not infer completion from a self-authored thought; execute take-target then use-lamp and wait for environment success.,high
6,incomplete_search; unsupported_examine,"The agent did not find the book, invented location-qualified examine commands, and then treated the task as impossible.",Track searched containers and continue with valid go/open actions instead of inventing examine syntax.,medium
7,task_protocol_error; premature_completion,The agent found a bowl and desklamp but used examine/use-on forms rather than holding the bowl and using the lamp.,Make the light-task protocol explicit and continue acting until the environment reports success.,high
8,task_protocol_error; repeated_exploration,The agent repeatedly attempted examine bowl with desklamp and later concluded that the task was impossible.,Use the demonstrated take-target then use-desklamp protocol and change strategy after the first rejection.,high
9,task_protocol_error,"After finding the desklamp, the agent still issued examine bowl with desklamp and use bowl, both outside the completion protocol.",Map light examination to taking the requested object and issuing use desklamp at the lamp location.,high
15,task_protocol_error; thought_loop,The agent repeatedly used examine mug with desklamp or examine mug and then declared completion without a success signal.,Require the executable light-task sequence and prohibit unsupported completion declarations.,high
16,task_protocol_error; thought_loop,The agent repeated look at pencil with desklamp and attempted unrelated lamp operations instead of the valid completion action.,Keep the held target in memory and use the desklamp without on/with arguments.,high
17,inventory_tracking; parse_failure_loop,The agent had already picked up pencil 1 but searched for pencil 2 instead of placing the held target on the shelf.,"After a successful take, update inventory and prioritize delivery of the held requested object.",high
18,object_identity_confusion; missing_take,"The task requested cloth, but the agent substituted a handtowel and attempted cleaning before holding a valid target.",Require exact target-category matching and a successful take before any clean action.,high
20,closed_container; repetition_loop,"The egg was found, taken, and cleaned, but the agent repeatedly moved it to a closed microwave without opening it.",Check whether an openable destination is closed and open it before placement; do not repeat a rejected action.,high
28,closed_container; repetition_loop,"The potato was successfully cooled, but repeated placement into a closed microwave exhausted the step budget.",Add a destination-container precondition check before the final move action.,high
29,incomplete_search; unachievability_hallucination,"After checking only a subset of candidate locations, the agent concluded that no tomato existed and repeated that belief.",Maintain a visited-location checklist and exhaust visible candidate receptacles before declaring failure.,medium
31,heat_sequence_error; unachievability_hallucination,"The agent searched extensively and later failed to complete the take, heat, and place sequence after locating relevant objects.",Use a stable subgoal order and update it from each verified observation rather than declaring the task impossible.,medium
32,state_tracking_error; parse_failure_loop,The agent observed eggs in the garbagecan but did not use that observation to recover and ended in repeated ouch outputs.,Immediately bind a newly observed target ID to the next valid take action and continue the heat sequence.,medium
35,two_object_flow; inventory_capacity,"While holding the first peppershaker, the agent attempted to take another instead of placing the first one.","Use two explicit passes: take and place the first unique ID, then take and place a different ID.",high
39,two_object_flow; parse_failure_loop,"After taking the first soapbar, the agent continued searching for a second while still holding the first and then lost the action format.",Place the first object before searching for the second and retain the first object's ID in memory.,high
41,object_identity_confusion; premature_completion,"The task requested soapbars, but the agent placed soapbottles and repeatedly claimed that the task was complete.",Require exact object-type matching and verify two distinct requested IDs before treating the goal as complete.,high
42,object_counting_error; same_object_reuse,"After placing toiletpaper 1 in the cabinet, the agent took that same object back and counted it as the second object.",Track placed object IDs and forbid reusing the first instance as the second target.,high
