failure_id,episode_index,game_id,task_type,task,termination_reason,env_steps,agent_turns,thought_steps,action_steps,invalid_actions,parse_failures,repeated_actions,primary_label,secondary_label,evidence
1,0,look_at_obj_in_light-AlarmClock-None-DeskLamp-308/trial_T20190908_222917_366542,look_at_obj_in_light,examine the alarmclock with the desklamp.,thought_loop,21,53,32,21,9,0,1,动作格式/任务语义错误,look_at动作协议错误; thought_loop,把 look/examine with desklamp 当作可执行动作；正确策略应是拿目标物并 use desklamp。
2,1,look_at_obj_in_light-AlarmClock-None-DeskLamp-308/trial_T20190908_222933_607649,look_at_obj_in_light,examine the alarmclock with the desklamp.,parse_failure_loop,8,21,5,8,6,8,0,动作格式/任务语义错误,look_at动作协议错误; parse_failure_loop,反复 examine alarmclock with desklamp / describe alarmclock，随后输出 ouch。
3,2,look_at_obj_in_light-AlarmClock-None-DeskLamp-308/trial_T20190908_222951_616606,look_at_obj_in_light,look at alarmclock under the desklamp.,thought_loop,7,34,27,7,5,0,3,动作格式/任务语义错误,look_at动作协议错误; thought_loop,已找到 alarmclock 和 desklamp，但反复 look at alarmclock with desklamp，并自称完成。
4,3,look_at_obj_in_light-Book-None-DeskLamp-308/trial_T20190908_020029_636862,look_at_obj_in_light,examine the book with the desklamp.,thought_loop,28,71,34,28,3,9,0,探索/找物错误,look_at; 非法 examine on/in,系统搜索后仍未找到 book，并输出 examine book on/in receptacle 等非标准动作。
5,4,look_at_obj_in_light-Book-None-DeskLamp-308/trial_T20190908_020048_814402,look_at_obj_in_light,examine the book with the desklamp.,thought_loop,42,97,55,42,22,0,1,感知/记忆错误,look_at; 无效 examine; thought_loop,已见过 desklamp，却在后续 thought 中说没有找到 book/desklamp，并反复回到已查位置。
6,5,look_at_obj_in_light-Book-None-DeskLamp-308/trial_T20190908_144951_587345,look_at_obj_in_light,examine the book with the desklamp.,thought_loop,17,60,34,17,1,9,0,探索/找物错误,look_at; 非法 examine on/in,未找到 book 后进入不可完成判断，伴随 examine object on location 解析失败。
7,6,look_at_obj_in_light-Bowl-None-DeskLamp-308/trial_T20190907_133919_856963,look_at_obj_in_light,look at bowl under the desklamp.,thought_loop,28,59,28,28,11,3,3,动作格式/任务语义错误,look_at动作协议错误; thought_loop,找到 bowl/desklamp 后尝试 examine bowl with desklamp、use desklamp on bowl，而不是拿 bowl 再 use lamp。
8,7,look_at_obj_in_light-Bowl-None-DeskLamp-308/trial_T20190907_133935_066606,look_at_obj_in_light,look at bowl under the desklamp.,thought_loop,39,80,41,39,14,0,0,动作格式/任务语义错误,look_at动作协议错误; 探索反复,反复 examine bowl with desklamp，之后判断任务不可完成。
9,8,look_at_obj_in_light-Bowl-None-DeskLamp-308/trial_T20190907_133953_562557,look_at_obj_in_light,examine the bowl with the desklamp.,thought_loop,15,43,28,15,4,0,0,动作格式/任务语义错误,look_at动作协议错误,找到 desklamp 后仍用 examine bowl with desklamp / use bowl，环境拒绝。
10,9,look_at_obj_in_light-CD-None-DeskLamp-308/trial_T20190908_141942_810052,look_at_obj_in_light,look at cd under the desklamp.,parse_failure_loop,14,24,2,14,12,8,7,感知/记忆错误,空间位置错误; parse_failure_loop,看到 lamp 在 desk 1、CD 在 desk 2，却在错误位置反复 use desklamp，随后 ouch。
11,10,look_at_obj_in_light-CD-None-DeskLamp-308/trial_T20190908_141958_463362,look_at_obj_in_light,examine the cd with the desklamp.,thought_loop,41,78,37,41,19,0,0,动作格式/任务语义错误,look_at动作协议错误; thought_loop,多次 use lamp/examine cd with desklamp，误判 lamp 不工作。
12,11,look_at_obj_in_light-CD-None-DeskLamp-308/trial_T20190908_142046_281296,look_at_obj_in_light,examine the cd with the desklamp.,parse_failure_loop,3,14,3,3,1,8,0,动作格式/任务语义错误,look_at动作协议错误; parse_failure_loop,找到 cd 和 lamp 后用 examine cd with desklamp，又输出 turn off desklamp/OK/ouch。
13,12,look_at_obj_in_light-Mug-None-DeskLamp-308/trial_T20190908_161733_213242,look_at_obj_in_light,look at mug under the desklamp.,thought_loop,14,53,29,14,6,10,1,动作格式/任务语义错误,look_at动作协议错误; parse_failure_loop,输出 use desklamp on shelf、examine mug under desklamp 等本地不接受命令。
14,13,look_at_obj_in_light-Mug-None-DeskLamp-308/trial_T20190908_201421_021646,look_at_obj_in_light,examine the mug with the desklamp.,parse_failure_loop,2,12,2,2,1,8,0,动作格式/任务语义错误,中文/完成声明解析失败,examine mug with desklamp 被拒后输出中文“任务完成/重新思考”，无法解析为动作。
15,14,look_at_obj_in_light-Mug-None-DeskLamp-308/trial_T20190908_201444_037645,look_at_obj_in_light,examine the mug with the desklamp.,thought_loop,11,40,29,11,7,0,0,动作格式/任务语义错误,look_at动作协议错误; thought_loop,反复 examine mug with desklamp/examine mug，最后自称完成。
16,15,look_at_obj_in_light-Pencil-None-DeskLamp-308/trial_T20190908_220545_153480,look_at_obj_in_light,look at pencil under the desklamp.,thought_loop,25,62,36,25,8,1,2,动作格式/任务语义错误,look_at动作协议错误; thought_loop,反复 look at pencil with desklamp，并尝试 turn off/use lamp。
17,22,pick_and_place_simple-Pencil-None-Shelf-308/trial_T20190908_122024_052056,pick_and_place_simple,put a pencil in shelf.,parse_failure_loop,15,25,2,15,4,8,1,感知/记忆错误,已持有目标后忘记目标; parse_failure_loop,已经拿到 pencil 1，却转去拿 pencil 2，没有去 shelf 放置。
18,45,pick_clean_then_place_in_recep-Cloth-None-Cabinet-424/trial_T20190908_022321_380927,pick_clean_then_place_in_recep,clean some cloth and put it in cabinet.,parse_failure_loop,7,19,4,7,1,8,0,规划/前置条件错误,错把 handtowel 当 cloth; 未先 take,任务要 cloth，模型找到 handtowel 后未拿起就 clean，随后 ouch。
