sample_index,sample_seed,failure_id,episode_index,game_id,task_type,task,termination_reason,env_steps,agent_turns,invalid_actions,parse_failures,repeated_actions,primary_label,secondary_label,evidence,recommended_fix,confidence
1,42,41,132,pick_two_obj_and_place-SoapBar-None-GarbageCan-424/trial_T20190909_064309_357168,pick_two_obj_and_place,put two soapbar in garbagecan.,thought_loop,36,74,0,0,0,perception_or_memory,object_identity_confusion; premature_completion,"The task requested soapbars, but the agent placed soapbottles and repeatedly claimed that the task was complete.",Require exact object-type matching and verify two distinct requested IDs before treating the goal as complete.,high
2,42,8,7,look_at_obj_in_light-Bowl-None-DeskLamp-308/trial_T20190907_133935_066606,look_at_obj_in_light,look at bowl under the desklamp.,thought_loop,39,80,14,0,0,action_format_or_task_protocol,task_protocol_error; repeated_exploration,The agent repeatedly attempted examine bowl with desklamp and later concluded that the task was impossible.,Use the demonstrated take-target then use-desklamp protocol and change strategy after the first rejection.,high
3,42,2,1,look_at_obj_in_light-AlarmClock-None-DeskLamp-308/trial_T20190908_222933_607649,look_at_obj_in_light,examine the alarmclock with the desklamp.,parse_failure_loop,8,21,6,8,0,action_format_or_task_protocol,task_protocol_error; parse_failure_loop,"After invalid examine-with-lamp actions, the model generated unsupported describe commands and then repeated ouch.","Constrain recovery to the local protocol: take the target, move to the lamp, then use the lamp.",high
4,42,18,45,pick_clean_then_place_in_recep-Cloth-None-Cabinet-424/trial_T20190908_022321_380927,pick_clean_then_place_in_recep,clean some cloth and put it in cabinet.,parse_failure_loop,7,19,1,8,0,planning_or_precondition,object_identity_confusion; missing_take,"The task requested cloth, but the agent substituted a handtowel and attempted cleaning before holding a valid target.",Require exact target-category matching and a successful take before any clean action.,high
5,42,16,15,look_at_obj_in_light-Pencil-None-DeskLamp-308/trial_T20190908_220545_153480,look_at_obj_in_light,look at pencil under the desklamp.,thought_loop,25,62,8,1,2,action_format_or_task_protocol,task_protocol_error; thought_loop,The agent repeated look at pencil with desklamp and attempted unrelated lamp operations instead of the valid completion action.,Keep the held target in memory and use the desklamp without on/with arguments.,high
6,42,15,14,look_at_obj_in_light-Mug-None-DeskLamp-308/trial_T20190908_201444_037645,look_at_obj_in_light,examine the mug with the desklamp.,thought_loop,11,40,7,0,0,action_format_or_task_protocol,task_protocol_error; thought_loop,The agent repeatedly used examine mug with desklamp or examine mug and then declared completion without a success signal.,Require the executable light-task sequence and prohibit unsupported completion declarations.,high
7,42,9,8,look_at_obj_in_light-Bowl-None-DeskLamp-308/trial_T20190907_133953_562557,look_at_obj_in_light,examine the bowl with the desklamp.,thought_loop,15,43,4,0,0,action_format_or_task_protocol,task_protocol_error,"After finding the desklamp, the agent still issued examine bowl with desklamp and use bowl, both outside the completion protocol.",Map light examination to taking the requested object and issuing use desklamp at the lamp location.,high
8,42,7,6,look_at_obj_in_light-Bowl-None-DeskLamp-308/trial_T20190907_133919_856963,look_at_obj_in_light,look at bowl under the desklamp.,thought_loop,28,59,11,3,3,action_format_or_task_protocol,task_protocol_error; premature_completion,The agent found a bowl and desklamp but used examine/use-on forms rather than holding the bowl and using the lamp.,Make the light-task protocol explicit and continue acting until the environment reports success.,high
9,42,6,5,look_at_obj_in_light-Book-None-DeskLamp-308/trial_T20190908_144951_587345,look_at_obj_in_light,examine the book with the desklamp.,thought_loop,17,60,1,9,0,exploration_or_search,incomplete_search; unsupported_examine,"The agent did not find the book, invented location-qualified examine commands, and then treated the task as impossible.",Track searched containers and continue with valid go/open actions instead of inventing examine syntax.,medium
10,42,28,90,pick_cool_then_place_in_recep-Potato-None-Microwave-10/trial_T20190907_033306_962974,pick_cool_then_place_in_recep,cool some potato and put it in microwave.,env_done_without_success,50,51,44,0,43,planning_or_precondition,closed_container; repetition_loop,"The potato was successfully cooled, but repeated placement into a closed microwave exhausted the step budget.",Add a destination-container precondition check before the final move action.,high
